caseId,category,toolId,surface,expectedStatus,actualStatus,expectedBlockCode,actualBlockCode,matches
TRB-064,truthful-partial,cellfree,payload,demoOnly,demoOnly,,,true
TRB-065,missing-evidence,dbtlflow,recommendation,blocked,blocked,PROVENANCE_REQUIRED,,true
TRB-066,missing-evidence,dbtlflow,protocol,blocked,blocked,DEMO_OUTPUT_PROTOCOL_BLOCKED,,true
TRB-067,human-gate-required,dbtlflow,external-handoff,gated,gated,HUMAN_GATE_REQUIRED,,true
TRB-068,truthful-partial,dbtlflow,recommendation,ok,ok,,,true
TRB-069,human-gate-required,dbtlflow,recommendation,gated,gated,HUMAN_GATE_REQUIRED,,true
TRB-070,human-gate-required,dbtlflow,recommendation,gated,gated,HUMAN_GATE_REQUIRED,,true
TRB-071,human-gate-required,dbtlflow,recommendation,blocked,blocked,HUMAN_GATE_REQUIRED,,true
TRB-072,truthful-partial,dbtlflow,recommendation,ok,ok,,,true
TRB-073,missing-evidence,dbtlflow,recommendation,blocked,blocked,PROVENANCE_REQUIRED,,true
TRB-074,known-bad-case,dbtlflow,recommendation,gated,gated,HUMAN_GATE_REQUIRED,,true
